Test Size,IR,Method,SP,SE,Gmean,F1 Score,Precision,Accuracy,AUC,Ma tran nham lan
0.3,0.1111111111111111,ADA_DSTree,0.9841269841269841,0.375,0.6074928962939559,0.5,0.9154929577464789,0.75,0.6795634920634921,"[[62  1]
 [ 5  3]]"
0.3,0.1111111111111111,ADA_WSVM,0.9682539682539683,0.875,0.9204467514322717,0.823529411764706,0.9577464788732394,0.7777777777777778,0.9216269841269841,"[[61  2]
 [ 1  7]]"
0.3,0.1111111111111111,ImADA1_WSVM,0.9682539682539683,0.875,0.9204467514322717,0.823529411764706,0.9577464788732394,0.7777777777777778,0.9216269841269841,"[[61  2]
 [ 1  7]]"
0.3,0.1111111111111111,ImADA2_WSVM,0.9682539682539683,0.875,0.9204467514322717,0.823529411764706,0.9577464788732394,0.7777777777777778,0.9216269841269841,"[[61  2]
 [ 1  7]]"
0.3,0.1111111111111111,ImADA_12_WSVM,0.031746031746031744,0.125,0.06299407883487121,0.028571428571428574,0.04225352112676056,0.016129032258064516,0.07837301587301587,"[[ 2 61]
 [ 7  1]]"
Test Size,IR,Method,SP,SE,Gmean,F1 Score,Precision,Accuracy,AUC,Ma tran nham lan
0.3,0.1111111111111111,ADA_DSTree,0.9365079365079365,0.375,0.592613260221602,0.39999999999999997,0.8732394366197183,0.42857142857142855,0.6557539682539683,"[[59  4]
 [ 5  3]]"
0.3,0.1111111111111111,ADA_WSVM,0.9523809523809523,0.625,0.7715167498104596,0.625,0.9154929577464789,0.625,0.788690476190476,"[[60  3]
 [ 3  5]]"
0.3,0.1111111111111111,ImADA1_WSVM,0.9523809523809523,0.625,0.7715167498104596,0.625,0.9154929577464789,0.625,0.788690476190476,"[[60  3]
 [ 3  5]]"
0.3,0.1111111111111111,ImADA2_WSVM,0.9523809523809523,0.625,0.7715167498104596,0.625,0.9154929577464789,0.625,0.788690476190476,"[[60  3]
 [ 3  5]]"
0.3,0.1111111111111111,ImADA_12_WSVM,0.047619047619047616,0.375,0.1336306209562122,0.08450704225352113,0.08450704225352113,0.047619047619047616,0.21130952380952384,"[[ 3 60]
 [ 5  3]]"
Test Size,IR,Method,SP,SE,Gmean,F1 Score,Precision,Accuracy,AUC,Ma tran nham lan
0.3,0.1111111111111111,ADA_DSTree,0.9841269841269841,0.25,0.4960158727618966,0.36363636363636365,0.9014084507042254,0.6666666666666666,0.6170634920634921,"[[62  1]
 [ 6  2]]"
0.3,0.1111111111111111,ADA_WSVM,0.9523809523809523,0.75,0.8451542547285166,0.7058823529411765,0.9295774647887324,0.6666666666666666,0.8511904761904762,"[[60  3]
 [ 2  6]]"
0.3,0.1111111111111111,ImADA1_WSVM,0.9523809523809523,0.75,0.8451542547285166,0.7058823529411765,0.9295774647887324,0.6666666666666666,0.8511904761904762,"[[60  3]
 [ 2  6]]"
0.3,0.1111111111111111,ImADA2_WSVM,0.9523809523809523,0.75,0.8451542547285166,0.7058823529411765,0.9295774647887324,0.6666666666666666,0.8511904761904762,"[[60  3]
 [ 2  6]]"
0.3,0.1111111111111111,ImADA_12_WSVM,0.047619047619047616,0.25,0.10910894511799618,0.05714285714285715,0.07042253521126761,0.03225806451612903,0.14880952380952384,"[[ 3 60]
 [ 6  2]]"
Test Size,IR,Method,SP,SE,Gmean,F1 Score,Precision,Accuracy,AUC,Ma tran nham lan
0.3,0.1111111111111111,ADA_DSTree,0.9365079365079365,0.125,0.34214542531428366,0.15384615384615385,0.8450704225352113,0.2,0.5307539682539683,"[[59  4]
 [ 7  1]]"
0.3,0.1111111111111111,ADA_WSVM,1.0,0.0,0.0,0.0,0.8873239436619719,0.0,0.5,"[[63  0]
 [ 8  0]]"
0.3,0.1111111111111111,ImADA1_WSVM,0.0,1.0,0.0,0.20253164556962025,0.11267605633802817,0.11267605633802817,0.5,"[[ 0 63]
 [ 0  8]]"
0.3,0.1111111111111111,ImADA2_WSVM,1.0,0.0,0.0,0.0,0.8873239436619719,0.0,0.5,"[[63  0]
 [ 8  0]]"
0.3,0.1111111111111111,ImADA_12_WSVM,0.0,1.0,0.0,0.20253164556962025,0.11267605633802817,0.11267605633802817,0.5,"[[ 0 63]
 [ 0  8]]"
Test Size,IR,Method,SP,SE,Gmean,F1 Score,Precision,Accuracy,AUC,Ma tran nham lan
0.3,0.1111111111111111,ADA_DSTree,0.9047619047619048,0.625,0.751981509397798,0.5263157894736842,0.8732394366197183,0.45454545454545453,0.7648809523809524,"[[57  6]
 [ 3  5]]"
0.3,0.1111111111111111,ADA_WSVM,0.9682539682539683,0.75,0.8521681032463466,0.75,0.9436619718309859,0.75,0.8591269841269841,"[[61  2]
 [ 2  6]]"
0.3,0.1111111111111111,ImADA1_WSVM,0.9682539682539683,0.75,0.8521681032463466,0.75,0.9436619718309859,0.75,0.8591269841269841,"[[61  2]
 [ 2  6]]"
0.3,0.1111111111111111,ImADA2_WSVM,0.9682539682539683,0.75,0.8521681032463466,0.75,0.9436619718309859,0.75,0.8591269841269841,"[[61  2]
 [ 2  6]]"
0.3,0.1111111111111111,ImADA_12_WSVM,0.031746031746031744,0.25,0.0890870806374748,0.05633802816901408,0.056338028169014086,0.031746031746031744,0.14087301587301587,"[[ 2 61]
 [ 6  2]]"
Test Size,IR,Method,SP,SE,Gmean,F1 Score,Precision,Accuracy,AUC,Ma tran nham lan
0.3,0.1111111111111111,ADA_DSTree,0.9206349206349206,0.25,0.47974861141928293,0.26666666666666666,0.8450704225352113,0.2857142857142857,0.5853174603174603,"[[58  5]
 [ 6  2]]"
