Time,IR,Fold,Method,SP,SE,Gmean,F1 Score,Precision,Accuracy,AUC,Ma tran nham lan
1,0.2,1,ADA_DSTree,0.8,0.5,0.6324555320336759,0.4,0.75,0.3333333333333333,0.6500000000000001,"[[16  4]
 [ 2  2]]"
1,0.2,1,ADA_WSVM,1.0,0.0,0.0,0.0,0.8333333333333334,0.0,0.5,"[[20  0]
 [ 4  0]]"
1,0.2,1,ImADA1_WSVM,0.0,1.0,0.0,0.2857142857142857,0.16666666666666666,0.16666666666666666,0.5,"[[ 0 20]
 [ 0  4]]"
1,0.2,1,ImADA2_WSVM,1.0,0.0,0.0,0.0,0.8333333333333334,0.0,0.5,"[[20  0]
 [ 4  0]]"
1,0.2,1,ImADA_12_WSVM,0.0,1.0,0.0,0.2857142857142857,0.16666666666666666,0.16666666666666666,0.5,"[[ 0 20]
 [ 0  4]]"
1,0.2,2,ADA_DSTree,0.9,0.75,0.8215838362577492,0.6666666666666665,0.875,0.6,0.825,"[[18  2]
 [ 1  3]]"
1,0.2,2,ADA_WSVM,0.95,0.0,0.0,0.0,0.7916666666666666,0.0,0.475,"[[19  1]
 [ 4  0]]"
1,0.2,2,ImADA1_WSVM,0.0,1.0,0.0,0.2857142857142857,0.16666666666666666,0.16666666666666666,0.5,"[[ 0 20]
 [ 0  4]]"
1,0.2,2,ImADA2_WSVM,1.0,0.0,0.0,0.0,0.8333333333333334,0.0,0.5,"[[20  0]
 [ 4  0]]"
1,0.2,2,ImADA_12_WSVM,0.0,1.0,0.0,0.2857142857142857,0.16666666666666666,0.16666666666666666,0.5,"[[ 0 20]
 [ 0  4]]"
1,0.2,3,ADA_DSTree,1.0,0.0,0.0,0.0,0.8333333333333334,0.0,0.5,"[[20  0]
 [ 4  0]]"
1,0.2,3,ADA_WSVM,0.9,0.0,0.0,0.0,0.75,0.0,0.45,"[[18  2]
 [ 4  0]]"
1,0.2,3,ImADA1_WSVM,0.1,1.0,0.31622776601683794,0.3076923076923077,0.25,0.18181818181818182,0.55,"[[ 2 18]
 [ 0  4]]"
1,0.2,3,ImADA2_WSVM,0.9,0.0,0.0,0.0,0.75,0.0,0.45,"[[18  2]
 [ 4  0]]"
1,0.2,3,ImADA_12_WSVM,0.1,1.0,0.31622776601683794,0.3076923076923077,0.25,0.18181818181818182,0.55,"[[ 2 18]
 [ 0  4]]"
1,0.2,4,ADA_DSTree,0.9,0.25,0.4743416490252569,0.28571428571428575,0.7916666666666666,0.3333333333333333,0.575,"[[18  2]
 [ 3  1]]"
1,0.2,4,ADA_WSVM,1.0,0.0,0.0,0.0,0.8333333333333334,0.0,0.5,"[[20  0]
 [ 4  0]]"
1,0.2,4,ImADA1_WSVM,0.0,1.0,0.0,0.2857142857142857,0.16666666666666666,0.16666666666666666,0.5,"[[ 0 20]
 [ 0  4]]"
1,0.2,4,ImADA2_WSVM,1.0,0.0,0.0,0.0,0.8333333333333334,0.0,0.5,"[[20  0]
 [ 4  0]]"
1,0.2,4,ImADA_12_WSVM,0.0,1.0,0.0,0.2857142857142857,0.16666666666666666,0.16666666666666666,0.5,"[[ 0 20]
 [ 0  4]]"
1,0.2,5,ADA_DSTree,0.95,0.5,0.689202437604511,0.5714285714285715,0.875,0.6666666666666666,0.7249999999999999,"[[19  1]
 [ 2  2]]"
1,0.2,5,ADA_WSVM,1.0,0.0,0.0,0.0,0.8333333333333334,0.0,0.5,"[[20  0]
 [ 4  0]]"
1,0.2,5,ImADA1_WSVM,0.0,1.0,0.0,0.2857142857142857,0.16666666666666666,0.16666666666666666,0.5,"[[ 0 20]
 [ 0  4]]"
1,0.2,5,ImADA2_WSVM,1.0,0.0,0.0,0.0,0.8333333333333334,0.0,0.5,"[[20  0]
 [ 4  0]]"
1,0.2,5,ImADA_12_WSVM,0.0,1.0,0.0,0.2857142857142857,0.16666666666666666,0.16666666666666666,0.5,"[[ 0 20]
 [ 0  4]]"
Time,IR,Fold,Method,SP,SE,Gmean,F1 Score,Precision,Accuracy,AUC,Ma tran nham lan
2,0.2,1,ADA_DSTree,1.0,0.25,0.5,0.4,0.875,1.0,0.625,"[[20  0]
 [ 3  1]]"
2,0.2,1,ADA_WSVM,1.0,0.0,0.0,0.0,0.8333333333333334,0.0,0.5,"[[20  0]
 [ 4  0]]"
2,0.2,1,ImADA1_WSVM,0.95,0.25,0.48733971724044817,0.3333333333333333,0.8333333333333334,0.5,0.6,"[[19  1]
 [ 3  1]]"
2,0.2,1,ImADA2_WSVM,0.95,0.25,0.48733971724044817,0.3333333333333333,0.8333333333333334,0.5,0.6,"[[19  1]
 [ 3  1]]"
2,0.2,1,ImADA_12_WSVM,0.95,0.25,0.48733971724044817,0.3333333333333333,0.8333333333333334,0.5,0.6,"[[19  1]
 [ 3  1]]"
2,0.2,2,ADA_DSTree,1.0,0.5,0.7071067811865476,0.6666666666666666,0.9166666666666666,1.0,0.75,"[[20  0]
 [ 2  2]]"
2,0.2,2,ADA_WSVM,1.0,0.5,0.7071067811865476,0.6666666666666666,0.9166666666666666,1.0,0.75,"[[20  0]
 [ 2  2]]"
2,0.2,2,ImADA1_WSVM,0.95,0.75,0.8440971508067066,0.75,0.9166666666666666,0.75,0.85,"[[19  1]
 [ 1  3]]"
2,0.2,2,ImADA2_WSVM,0.95,0.75,0.8440971508067066,0.75,0.9166666666666666,0.75,0.85,"[[19  1]
 [ 1  3]]"
2,0.2,2,ImADA_12_WSVM,0.95,0.75,0.8440971508067066,0.75,0.9166666666666666,0.75,0.85,"[[19  1]
 [ 1  3]]"
2,0.2,3,ADA_DSTree,0.9,0.5,0.6708203932499369,0.5,0.8333333333333334,0.5,0.7000000000000001,"[[18  2]
 [ 2  2]]"
2,0.2,3,ADA_WSVM,0.9,0.75,0.8215838362577492,0.6666666666666665,0.875,0.6,0.825,"[[18  2]
 [ 1  3]]"
2,0.2,3,ImADA1_WSVM,0.85,0.75,0.7984359711335656,0.6,0.8333333333333334,0.5,0.8,"[[17  3]
 [ 1  3]]"
2,0.2,3,ImADA2_WSVM,0.85,0.75,0.7984359711335656,0.6,0.8333333333333334,0.5,0.8,"[[17  3]
 [ 1  3]]"
2,0.2,3,ImADA_12_WSVM,0.85,0.75,0.7984359711335656,0.6,0.8333333333333334,0.5,0.8,"[[17  3]
 [ 1  3]]"
2,0.2,4,ADA_DSTree,0.95,0.5,0.689202437604511,0.5714285714285715,0.875,0.6666666666666666,0.7249999999999999,"[[19  1]
 [ 2  2]]"
2,0.2,4,ADA_WSVM,0.9,1.0,0.9486832980505138,0.8,0.9166666666666666,0.6666666666666666,0.9500000000000001,"[[18  2]
 [ 0  4]]"
2,0.2,4,ImADA1_WSVM,0.9,1.0,0.9486832980505138,0.8,0.9166666666666666,0.6666666666666666,0.9500000000000001,"[[18  2]
 [ 0  4]]"
2,0.2,4,ImADA2_WSVM,0.9,1.0,0.9486832980505138,0.8,0.9166666666666666,0.6666666666666666,0.9500000000000001,"[[18  2]
 [ 0  4]]"
2,0.2,4,ImADA_12_WSVM,0.9,1.0,0.9486832980505138,0.8,0.9166666666666666,0.6666666666666666,0.9500000000000001,"[[18  2]
 [ 0  4]]"
2,0.2,5,ADA_DSTree,1.0,0.5,0.7071067811865476,0.6666666666666666,0.9166666666666666,1.0,0.75,"[[20  0]
 [ 2  2]]"
2,0.2,5,ADA_WSVM,0.95,1.0,0.9746794344808963,0.888888888888889,0.9583333333333334,0.8,0.975,"[[19  1]
 [ 0  4]]"
2,0.2,5,ImADA1_WSVM,0.95,1.0,0.9746794344808963,0.888888888888889,0.9583333333333334,0.8,0.975,"[[19  1]
 [ 0  4]]"
2,0.2,5,ImADA2_WSVM,0.95,1.0,0.9746794344808963,0.888888888888889,0.9583333333333334,0.8,0.975,"[[19  1]
 [ 0  4]]"
2,0.2,5,ImADA_12_WSVM,0.95,1.0,0.9746794344808963,0.888888888888889,0.9583333333333334,0.8,0.975,"[[19  1]
 [ 0  4]]"
Time,IR,Fold,Method,SP,SE,Gmean,F1 Score,Precision,Accuracy,AUC,Ma tran nham lan
3,0.2,1,ADA_DSTree,0.95,0.75,0.8440971508067066,0.75,0.9166666666666666,0.75,0.85,"[[19  1]
 [ 1  3]]"
3,0.2,1,ADA_WSVM,0.9,1.0,0.9486832980505138,0.8,0.9166666666666666,0.6666666666666666,0.9500000000000001,"[[18  2]
 [ 0  4]]"
3,0.2,1,ImADA1_WSVM,0.9,1.0,0.9486832980505138,0.8,0.9166666666666666,0.6666666666666666,0.9500000000000001,"[[18  2]
 [ 0  4]]"
3,0.2,1,ImADA2_WSVM,0.9,1.0,0.9486832980505138,0.8,0.9166666666666666,0.6666666666666666,0.9500000000000001,"[[18  2]
 [ 0  4]]"
3,0.2,1,ImADA_12_WSVM,0.9,1.0,0.9486832980505138,0.8,0.9166666666666666,0.6666666666666666,0.9500000000000001,"[[18  2]
 [ 0  4]]"
3,0.2,2,ADA_DSTree,1.0,0.75,0.8660254037844386,0.8571428571428571,0.9583333333333334,1.0,0.875,"[[20  0]
 [ 1  3]]"
3,0.2,2,ADA_WSVM,0.85,0.25,0.4609772228646444,0.25,0.75,0.25,0.55,"[[17  3]
 [ 3  1]]"
3,0.2,2,ImADA1_WSVM,1.0,0.5,0.7071067811865476,0.6666666666666666,0.9166666666666666,1.0,0.75,"[[20  0]
 [ 2  2]]"
3,0.2,2,ImADA2_WSVM,1.0,0.5,0.7071067811865476,0.6666666666666666,0.9166666666666666,1.0,0.75,"[[20  0]
 [ 2  2]]"
3,0.2,2,ImADA_12_WSVM,1.0,0.5,0.7071067811865476,0.6666666666666666,0.9166666666666666,1.0,0.75,"[[20  0]
 [ 2  2]]"
3,0.2,3,ADA_DSTree,0.9,1.0,0.9486832980505138,0.8,0.9166666666666666,0.6666666666666666,0.9500000000000001,"[[18  2]
 [ 0  4]]"
3,0.2,3,ADA_WSVM,0.9,0.5,0.6708203932499369,0.5,0.8333333333333334,0.5,0.7000000000000001,"[[18  2]
 [ 2  2]]"
3,0.2,3,ImADA1_WSVM,0.9,0.5,0.6708203932499369,0.5,0.8333333333333334,0.5,0.7000000000000001,"[[18  2]
 [ 2  2]]"
3,0.2,3,ImADA2_WSVM,0.9,0.5,0.6708203932499369,0.5,0.8333333333333334,0.5,0.7000000000000001,"[[18  2]
 [ 2  2]]"
3,0.2,3,ImADA_12_WSVM,0.9,0.5,0.6708203932499369,0.5,0.8333333333333334,0.5,0.7000000000000001,"[[18  2]
 [ 2  2]]"
3,0.2,4,ADA_DSTree,0.95,1.0,0.9746794344808963,0.888888888888889,0.9583333333333334,0.8,0.975,"[[19  1]
 [ 0  4]]"
3,0.2,4,ADA_WSVM,0.9,0.75,0.8215838362577492,0.6666666666666665,0.875,0.6,0.825,"[[18  2]
 [ 1  3]]"
3,0.2,4,ImADA1_WSVM,0.95,1.0,0.9746794344808963,0.888888888888889,0.9583333333333334,0.8,0.975,"[[19  1]
 [ 0  4]]"
3,0.2,4,ImADA2_WSVM,0.95,1.0,0.9746794344808963,0.888888888888889,0.9583333333333334,0.8,0.975,"[[19  1]
 [ 0  4]]"
3,0.2,4,ImADA_12_WSVM,0.95,1.0,0.9746794344808963,0.888888888888889,0.9583333333333334,0.8,0.975,"[[19  1]
 [ 0  4]]"
3,0.2,5,ADA_DSTree,0.95,1.0,0.9746794344808963,0.888888888888889,0.9583333333333334,0.8,0.975,"[[19  1]
 [ 0  4]]"
3,0.2,5,ADA_WSVM,0.75,0.75,0.75,0.5,0.75,0.375,0.75,"[[15  5]
 [ 1  3]]"
3,0.2,5,ImADA1_WSVM,0.9,0.75,0.8215838362577492,0.6666666666666665,0.875,0.6,0.825,"[[18  2]
 [ 1  3]]"
3,0.2,5,ImADA2_WSVM,0.9,0.75,0.8215838362577492,0.6666666666666665,0.875,0.6,0.825,"[[18  2]
 [ 1  3]]"
3,0.2,5,ImADA_12_WSVM,0.9,0.75,0.8215838362577492,0.6666666666666665,0.875,0.6,0.825,"[[18  2]
 [ 1  3]]"
Time,IR,Fold,Method,SP,SE,Gmean,F1 Score,Precision,Accuracy,AUC,Ma tran nham lan
4,0.2,1,ADA_DSTree,0.8,0.75,0.7745966692414834,0.5454545454545454,0.7916666666666666,0.42857142857142855,0.7750000000000001,"[[16  4]
 [ 1  3]]"
4,0.2,1,ADA_WSVM,0.95,0.5,0.689202437604511,0.5714285714285715,0.875,0.6666666666666666,0.7249999999999999,"[[19  1]
 [ 2  2]]"
4,0.2,1,ImADA1_WSVM,0.85,0.75,0.7984359711335656,0.6,0.8333333333333334,0.5,0.8,"[[17  3]
 [ 1  3]]"
4,0.2,1,ImADA2_WSVM,0.85,0.75,0.7984359711335656,0.6,0.8333333333333334,0.5,0.8,"[[17  3]
 [ 1  3]]"
4,0.2,1,ImADA_12_WSVM,0.85,0.75,0.7984359711335656,0.6,0.8333333333333334,0.5,0.8,"[[17  3]
 [ 1  3]]"
4,0.2,2,ADA_DSTree,0.95,0.75,0.8440971508067066,0.75,0.9166666666666666,0.75,0.85,"[[19  1]
 [ 1  3]]"
4,0.2,2,ADA_WSVM,0.9,0.75,0.8215838362577492,0.6666666666666665,0.875,0.6,0.825,"[[18  2]
 [ 1  3]]"
4,0.2,2,ImADA1_WSVM,0.9,0.75,0.8215838362577492,0.6666666666666665,0.875,0.6,0.825,"[[18  2]
 [ 1  3]]"
4,0.2,2,ImADA2_WSVM,0.9,0.75,0.8215838362577492,0.6666666666666665,0.875,0.6,0.825,"[[18  2]
 [ 1  3]]"
4,0.2,2,ImADA_12_WSVM,0.9,0.75,0.8215838362577492,0.6666666666666665,0.875,0.6,0.825,"[[18  2]
 [ 1  3]]"
4,0.2,3,ADA_DSTree,1.0,0.75,0.8660254037844386,0.8571428571428571,0.9583333333333334,1.0,0.875,"[[20  0]
 [ 1  3]]"
4,0.2,3,ADA_WSVM,0.95,0.75,0.8440971508067066,0.75,0.9166666666666666,0.75,0.85,"[[19  1]
 [ 1  3]]"
4,0.2,3,ImADA1_WSVM,0.95,0.75,0.8440971508067066,0.75,0.9166666666666666,0.75,0.85,"[[19  1]
 [ 1  3]]"
4,0.2,3,ImADA2_WSVM,0.95,0.75,0.8440971508067066,0.75,0.9166666666666666,0.75,0.85,"[[19  1]
 [ 1  3]]"
4,0.2,3,ImADA_12_WSVM,0.95,0.75,0.8440971508067066,0.75,0.9166666666666666,0.75,0.85,"[[19  1]
 [ 1  3]]"
4,0.2,4,ADA_DSTree,1.0,0.75,0.8660254037844386,0.8571428571428571,0.9583333333333334,1.0,0.875,"[[20  0]
 [ 1  3]]"
4,0.2,4,ADA_WSVM,1.0,0.25,0.5,0.4,0.875,1.0,0.625,"[[20  0]
 [ 3  1]]"
4,0.2,4,ImADA1_WSVM,0.95,0.5,0.689202437604511,0.5714285714285715,0.875,0.6666666666666666,0.7249999999999999,"[[19  1]
 [ 2  2]]"
4,0.2,4,ImADA2_WSVM,0.95,0.5,0.689202437604511,0.5714285714285715,0.875,0.6666666666666666,0.7249999999999999,"[[19  1]
 [ 2  2]]"
4,0.2,4,ImADA_12_WSVM,0.95,0.5,0.689202437604511,0.5714285714285715,0.875,0.6666666666666666,0.7249999999999999,"[[19  1]
 [ 2  2]]"
4,0.2,5,ADA_DSTree,0.95,0.5,0.689202437604511,0.5714285714285715,0.875,0.6666666666666666,0.7249999999999999,"[[19  1]
 [ 2  2]]"
4,0.2,5,ADA_WSVM,0.95,0.25,0.48733971724044817,0.3333333333333333,0.8333333333333334,0.5,0.6,"[[19  1]
 [ 3  1]]"
4,0.2,5,ImADA1_WSVM,0.9,0.5,0.6708203932499369,0.5,0.8333333333333334,0.5,0.7000000000000001,"[[18  2]
 [ 2  2]]"
4,0.2,5,ImADA2_WSVM,0.9,0.5,0.6708203932499369,0.5,0.8333333333333334,0.5,0.7000000000000001,"[[18  2]
 [ 2  2]]"
4,0.2,5,ImADA_12_WSVM,0.9,0.5,0.6708203932499369,0.5,0.8333333333333334,0.5,0.7000000000000001,"[[18  2]
 [ 2  2]]"
Time,IR,Fold,Method,SP,SE,Gmean,F1 Score,Precision,Accuracy,AUC,Ma tran nham lan
5,0.2,1,ADA_DSTree,0.95,0.75,0.8440971508067066,0.75,0.9166666666666666,0.75,0.85,"[[19  1]
 [ 1  3]]"
5,0.2,1,ADA_WSVM,0.95,0.0,0.0,0.0,0.7916666666666666,0.0,0.475,"[[19  1]
 [ 4  0]]"
5,0.2,1,ImADA1_WSVM,0.0,0.75,0.0,0.22222222222222218,0.125,0.13043478260869565,0.375,"[[ 0 20]
 [ 1  3]]"
5,0.2,1,ImADA2_WSVM,1.0,0.25,0.5,0.4,0.875,1.0,0.625,"[[20  0]
 [ 3  1]]"
5,0.2,1,ImADA_12_WSVM,0.0,0.75,0.0,0.22222222222222218,0.125,0.13043478260869565,0.375,"[[ 0 20]
 [ 1  3]]"
5,0.2,2,ADA_DSTree,0.9,0.5,0.6708203932499369,0.5,0.8333333333333334,0.5,0.7000000000000001,"[[18  2]
 [ 2  2]]"
5,0.2,2,ADA_WSVM,0.9,0.25,0.4743416490252569,0.28571428571428575,0.7916666666666666,0.3333333333333333,0.575,"[[18  2]
 [ 3  1]]"
5,0.2,2,ImADA1_WSVM,0.9,0.25,0.4743416490252569,0.28571428571428575,0.7916666666666666,0.3333333333333333,0.575,"[[18  2]
 [ 3  1]]"
5,0.2,2,ImADA2_WSVM,0.9,0.25,0.4743416490252569,0.28571428571428575,0.7916666666666666,0.3333333333333333,0.575,"[[18  2]
 [ 3  1]]"
5,0.2,2,ImADA_12_WSVM,0.1,0.75,0.2738612787525831,0.24,0.20833333333333334,0.14285714285714285,0.425,"[[ 2 18]
 [ 1  3]]"
5,0.2,3,ADA_DSTree,1.0,0.5,0.7071067811865476,0.6666666666666666,0.9166666666666666,1.0,0.75,"[[20  0]
 [ 2  2]]"
5,0.2,3,ADA_WSVM,1.0,0.25,0.5,0.4,0.875,1.0,0.625,"[[20  0]
 [ 3  1]]"
5,0.2,3,ImADA1_WSVM,0.95,0.5,0.689202437604511,0.5714285714285715,0.875,0.6666666666666666,0.7249999999999999,"[[19  1]
 [ 2  2]]"
5,0.2,3,ImADA2_WSVM,0.95,0.5,0.689202437604511,0.5714285714285715,0.875,0.6666666666666666,0.7249999999999999,"[[19  1]
 [ 2  2]]"
5,0.2,3,ImADA_12_WSVM,0.05,0.5,0.15811388300841897,0.16,0.125,0.09523809523809523,0.275,"[[ 1 19]
 [ 2  2]]"
5,0.2,4,ADA_DSTree,0.95,0.75,0.8440971508067066,0.75,0.9166666666666666,0.75,0.85,"[[19  1]
 [ 1  3]]"
5,0.2,4,ADA_WSVM,0.8,0.5,0.6324555320336759,0.4,0.75,0.3333333333333333,0.6500000000000001,"[[16  4]
 [ 2  2]]"
5,0.2,4,ImADA1_WSVM,0.8,0.5,0.6324555320336759,0.4,0.75,0.3333333333333333,0.6500000000000001,"[[16  4]
 [ 2  2]]"
5,0.2,4,ImADA2_WSVM,0.8,0.5,0.6324555320336759,0.4,0.75,0.3333333333333333,0.6500000000000001,"[[16  4]
 [ 2  2]]"
5,0.2,4,ImADA_12_WSVM,0.2,0.5,0.31622776601683794,0.1818181818181818,0.25,0.1111111111111111,0.35,"[[ 4 16]
 [ 2  2]]"
5,0.2,5,ADA_DSTree,1.0,0.75,0.8660254037844386,0.8571428571428571,0.9583333333333334,1.0,0.875,"[[20  0]
 [ 1  3]]"
5,0.2,5,ADA_WSVM,0.75,0.25,0.4330127018922193,0.2,0.6666666666666666,0.16666666666666666,0.5,"[[15  5]
 [ 3  1]]"
5,0.2,5,ImADA1_WSVM,0.0,0.75,0.0,0.22222222222222218,0.125,0.13043478260869565,0.375,"[[ 0 20]
 [ 1  3]]"
5,0.2,5,ImADA2_WSVM,1.0,0.25,0.5,0.4,0.875,1.0,0.625,"[[20  0]
 [ 3  1]]"
5,0.2,5,ImADA_12_WSVM,0.0,0.75,0.0,0.22222222222222218,0.125,0.13043478260869565,0.375,"[[ 0 20]
 [ 1  3]]"
