Test Size,Method,SP,SE,Gmean,F1 Score,Precision,Accuracy,AUC,Ma tran nham lan,List of err_w,List of alpha
0.2,Decision Tree,0.575,0.965,0.7448993220563433,0.9414634146341463,0.9,0.919047619047619,0.7699999999999998,"[[ 23  17]
 [  7 193]]",None,None
0.2,SVM (lib),0.025,1.0,0.15811388300841897,0.9111617312072893,0.8375,0.8368200836820083,0.5125,"[[  1  39]
 [  0 200]]",None,None
0.2,WSVM,0.15,1.0,0.3872983346207417,0.9216589861751151,0.8583333333333333,0.8547008547008547,0.575,"[[  6  34]
 [  0 200]]",None,None
0.2,ADA_DSTree,0.275,0.985,0.5204565303654092,0.9248826291079811,0.8666666666666667,0.8716814159292036,0.63,"[[ 11  29]
 [  3 197]]",None,None
0.2,ADA_SVM,0.0,1.0,0.0,0.9090909090909091,0.8333333333333334,0.8333333333333334,0.5,"[[  0  40]
 [  0 200]]",None,None
0.2,ADA_WSVM,0.15,1.0,0.3872983346207417,0.9216589861751151,0.8583333333333333,0.8547008547008547,0.575,"[[  6  34]
 [  0 200]]","[0.1572916666666667, 0.40322039309424607, 0.3621570666882806, 0.4335987338694627, 0.4999999999999997, 0.5000000000000001, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5]","[0.8392595401217836, 0.19603229199126654, 0.2830070317002534, 0.13359162384927525, 5.55111512312578e-16, -2.2204460492503136e-16, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
0.2,ImADA1_SVM,0.95,0.605,0.7581226813649622,0.7492260061919505,0.6625,0.983739837398374,0.7774999999999999,"[[ 38   2]
 [ 79 121]]","[0.8333333333333334, 0.3518749999999999, 0.3056226887575344, 0.4428388658565578, 0.5223663157378601, 0.48188253006803855, 0.49228234750737954, 0.5170024873989638, 0.4979560819036891, 0.4975093826070773, 0.49618784207294886, 0.49448454488365456, 0.5106559279237547, 0.49971799801370814, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5]","[-0.8047189562170503, 0.3054037900449187, 0.4103320955286757, 0.11482425873870801, -0.04476250413843248, 0.03625081084214842, 0.015436530973973276, -0.03401809098422142, 0.004087858962649173, 0.004981275985753509, 0.007624463593570638, 0.011031357682683512, -0.02131508330796724, 0.0005640040323871299, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
0.2,ImADA2_SVM,0.025,0.99,0.15732132722552272,0.9061784897025172,0.8291666666666667,0.8354430379746836,0.5075,"[[  1  39]
 [  2 198]]","[0.1906488715277778, 0.422519509317752, 0.4355901890816876, 0.6050906202268556, 0.4845196089355872, 0.5019739106868154, 0.4997434337056364, 0.500033265593139, 0.4999956854986804, 0.5000005595615031, 0.49999992742828286, 0.5000000094121029, 0.49999999877930834, 0.5000000001583161, 0.4999999999794675, 0.5000000000026628, 0.4999999999996548, 0.5000000000000447, 0.4999999999999942, 0.5000000000000008]","[0.7228997417327059, 0.15621951891287522, 0.12953936735432547, -0.21336095601408317, 0.030970680515045704, -0.003947841883140984, 0.0005131326337640365, -6.653118637615106e-05, 8.629002639416307e-06, -1.1191230062584844e-06, 1.451434341880075e-07, -1.8824205771007243e-08, 2.4413833117702308e-09, -3.1663227605427677e-10, 4.1065040255451416e-11, -5.325517804550312e-12, 6.905587213163705e-13, -8.948397578479562e-14, 1.1546319456101495e-14, -1.5543122344752215e-15]"
0.2,ImADA_12_SVM,0.95,0.575,0.739087274954724,0.725552050473186,0.6375,0.9829059829059829,0.7625,"[[ 38   2]
 [ 85 115]]","[0.8333333333333334, 0.38954726562499986, 0.4684087444374668, 0.5035569728006628, 0.49958433291810245, 0.5000483662836634, 0.4999943693643817, 0.5000006554609108, 0.499999923697438, 0.5000000088824158, 0.499999998965994, 0.500000000120369, 0.49999999998598776, 0.500000000001631, 0.49999999999981015, 0.5000000000000222, 0.4999999999999975, 0.5000000000000001, 0.5000000000000001, 0.5]","[-0.8047189562170503, 0.2246078309736722, 0.06326678856741497, -0.007114065613015913, 0.0008313343553114802, -9.673256762861025e-05, 1.1261271237114423e-05, -1.3109218215404346e-06, 1.5260512400832097e-07, -1.7764831588282252e-08, 2.0680119796033958e-09, -2.4073809618241465e-10, 2.8024471631407754e-11, -3.262057290964276e-12, 3.7969627442165935e-13, -4.440892098500824e-14, 4.996003610813179e-15, -2.2204460492503136e-16, -2.2204460492503136e-16, 0.0]"
0.2,ImADA1_WSVM,0.95,0.6,0.7549834435270749,0.7453416149068324,0.6583333333333333,0.9836065573770492,0.775,"[[ 38   2]
 [ 80 120]]","[0.8333333333333334, 0.3024999999999999, 0.38195370123522626, 0.5186102220865304, 0.5000000000000001, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5]","[-0.8047189562170503, 0.4177106181123126, 0.24063198572020375, -0.037237646397120856, -2.2204460492503136e-16, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
0.2,ImADA2_WSVM,0.075,1.0,0.27386127875258304,0.9153318077803204,0.8458333333333333,0.8438818565400844,0.5375,"[[  3  37]
 [  0 200]]","[0.1906488715277778, 0.36324210401837853, 0.534825343032899, 0.4611161032952542, 0.4930101509955065, 0.5313941681994312, 0.522001177668008, 0.5091028328023376, 0.5031763241500646, 0.501291040599411, 0.5004432318542597, 0.5001796920745784, 0.5000615479588524, 0.5000249434012977, 0.5000085408330601, 0.5000034611514034, 0.5000011850746195, 0.5000004802452258, 0.5000001644316653, 0.5000000666349993]","[0.7228997417327059, 0.28065997452794555, -0.06976364526463037, 0.07792514022608706, 0.01398060880903305, -0.06287104385197269, -0.044030787600628125, -0.018207677404698325, -0.006352733758320815, -0.0025820869372133845, -0.0008864639407191084, -0.00035938416462905336, -0.00012309591832652524, -4.988680263672677e-05, -1.708166612191546e-05, -6.922302806852067e-06, -2.3701492390759e-06, -9.604904516195514e-07, -3.2886333058292977e-07, -1.3326999858963392e-07]"
0.2,ImADA_12_WSVM,1.0,0.005,0.07071067811865475,0.009950248756218907,0.17083333333333334,1.0,0.5025,"[[ 40   0]
 [199   1]]","[0.8333333333333334, 0.47643906249999984, 0.38475140373844635, 0.4902057945411992, 0.5002007336586032, 0.5011564706111691, 0.5012894535761885, 0.5001134263562736, 0.4986650528924753, 0.4997264697679448, 0.5013360855312603, 0.5002874473997865, 0.4986657144682772, 0.49970651015601625, 0.5013297216823059, 0.5002885456307469, 0.4986726901373585, 0.49970775244923055, 0.5013227094537579, 0.5002870758184246]","[-0.8047189562170503, 0.04715679912789163, 0.2347144932695772, 0.01959091689046399, -0.00040146733877534656, -0.0023129453468630364, -0.002578912869632447, -0.00022685271643876412, 0.0026699005590434402, 0.000547060518684131, -0.0026721774227587117, -0.0005748948629079713, 0.0026685773980124733, 0.0005869797553811818, -0.002659449634399438, -0.0005770913255574662, 0.0026546259610163566, 0.0005844951681001246, -0.0026454250786348854, -0.0005741516999388533]"
0.3,Decision Tree,0.6,0.9466666666666667,0.7536577472566709,0.9342105263157895,0.8888888888888888,0.922077922077922,0.7733333333333333,"[[ 36  24]
 [ 16 284]]",None,None
0.3,SVM (lib),0.03333333333333333,0.9966666666666667,0.18226964152656422,0.9101978691019788,0.8361111111111111,0.8375350140056023,0.515,"[[  2  58]
 [  1 299]]",None,None
0.3,WSVM,0.36666666666666664,0.9533333333333334,0.591232234875227,0.9166666666666666,0.8555555555555555,0.8827160493827161,0.66,"[[ 22  38]
 [ 14 286]]",None,None
0.3,ADA_DSTree,0.25,0.9733333333333334,0.49328828623162474,0.9167974882260598,0.8527777777777777,0.8664688427299704,0.6116666666666667,"[[ 15  45]
 [  8 292]]",None,None
0.3,ADA_SVM,0.0,1.0,0.0,0.9090909090909091,0.8333333333333334,0.8333333333333334,0.5,"[[  0  60]
 [  0 300]]",None,None
0.3,ADA_WSVM,0.13333333333333333,0.9933333333333333,0.3639291750388315,0.916923076923077,0.85,0.8514285714285714,0.5633333333333334,"[[  8  52]
 [  2 298]]","[0.17500000000000002, 0.3582766439909297, 0.36832627161718723, 0.43069771202527146, 0.49999999999999994, 0.5000000000000001, 0.49999999999999983, 0.5000000000000002, 0.49999999999999983, 0.5000000000000002, 0.49999999999999983, 0.5000000000000002, 0.49999999999999983, 0.5000000000000002, 0.49999999999999983, 0.5000000000000002, 0.49999999999999983, 0.5000000000000002, 0.49999999999999983, 0.5000000000000002]","[0.7752987062055834, 0.2914259323081354, 0.2697019276319307, 0.13950253752646818, 1.1102230246251564e-16, -2.2204460492503136e-16, 4.440892098500624e-16, -4.440892098500628e-16, 4.440892098500624e-16, -4.440892098500628e-16, 4.440892098500624e-16, -4.440892098500628e-16, 4.440892098500624e-16, -4.440892098500628e-16, 4.440892098500624e-16, -4.440892098500628e-16, 4.440892098500624e-16, -4.440892098500628e-16, 4.440892098500624e-16, -4.440892098500628e-16]"
0.3,ImADA1_SVM,0.48333333333333334,0.7666666666666667,0.6087327455916558,0.8199643493761142,0.7194444444444444,0.8812260536398467,0.625,"[[ 29  31]
 [ 70 230]]","[0.6602380952380952, 0.18112702551963306, 0.43112315537403456, 0.4987875158070377, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5]","[-0.33217771406947066, 0.7543651949690257, 0.13863508815158432, 0.0024249731392607284, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
0.3,ImADA2_SVM,0.1,0.9966666666666667,0.3157002798013753,0.9157733537519142,0.8472222222222222,0.8470254957507082,0.5483333333333333,"[[  6  54]
 [  1 299]]","[0.22508928571428571, 0.31232214726024915, 0.5402382249800323, 0.49451201438851333, 0.5007104095946447, 0.4999074057325872, 0.5000120579033105, 0.4999984296011113, 0.5000002045227324, 0.49999997336369073, 0.5000000034690167, 0.49999999954820795, 0.5000000000588398, 0.4999999999923368, 0.5000000000009982, 0.4999999999998699, 0.5000000000000168, 0.49999999999999795, 0.5000000000000002, 0.49999999999999994]","[0.6181253332281625, 0.39464265629257655, -0.08065086235102376, 0.010976412020367256, -0.0014208201453727689, 0.00018518853694261272, -2.4115806625683245e-05, 3.1407977774455808e-06, -4.0904546484065006e-07, 5.327261858732122e-08, -6.938033473688301e-09, 9.035840956179647e-10, -1.1767964382122645e-10, 1.532640681011046e-11, -1.996403042884942e-12, 2.60236276972069e-13, -3.352873534368085e-14, 4.107825191113063e-15, -4.440892098500628e-16, 1.1102230246251564e-16]"
0.3,ImADA_12_SVM,0.8333333333333334,0.7033333333333334,0.7655789385237235,0.8099808061420346,0.725,0.9547511312217195,0.7683333333333333,"[[ 50  10]
 [ 89 211]]","[0.6641210884353742, 0.2827485173712598, 0.43989834175235426, 0.5459705607683554, 0.45496371136812813, 0.5554813084797624, 0.4592620353084527, 0.49906502776969036, 0.5000001922932473, 0.4999999999604494, 0.500000000000008, 0.5000000000000002, 0.5000000000000001, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5]","[-0.3408568910950879, 0.4654343252907956, 0.12078732054651922, -0.09220150811148894, 0.09031735827838598, -0.11142142783914018, 0.08165693884777109, 0.0018699466401639392, -3.845864946755899e-07, 7.910117005223615e-11, -1.598721155460251e-14, -4.440892098500628e-16, -2.2204460492503136e-16, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
0.3,ImADA1_WSVM,0.7666666666666667,0.06333333333333334,0.22035325174717882,0.11411411411411412,0.18055555555555555,0.5757575757575758,0.4149999999999999,"[[ 46  14]
 [281  19]]","[0.6602380952380952, 0.5520168831946659, 0.49967336119796585, 0.49999999999999983, 0.4999999999999999, 0.5000000000000001, 0.4999999999999999, 0.5000000000000001, 0.4999999999999999, 0.5000000000000001, 0.4999999999999999, 0.5000000000000001, 0.4999999999999999, 0.5000000000000001, 0.4999999999999999, 0.5000000000000001, 0.4999999999999999, 0.5000000000000001, 0.4999999999999999, 0.5000000000000001]","[-0.33217771406947066, -0.10441154265223485, 0.0006532776970018505, 4.440892098500624e-16, 2.2204460492503126e-16, -2.2204460492503136e-16, 2.2204460492503126e-16, -2.2204460492503136e-16, 2.2204460492503126e-16, -2.2204460492503136e-16, 2.2204460492503126e-16, -2.2204460492503136e-16, 2.2204460492503126e-16, -2.2204460492503136e-16, 2.2204460492503126e-16, -2.2204460492503136e-16, 2.2204460492503126e-16, -2.2204460492503136e-16, 2.2204460492503126e-16, -2.2204460492503136e-16]"
