Test Size,Method,SP,SE,Gmean,F1 Score,Precision,Accuracy,AUC,Ma tran nham lan,List of err_w,List of alpha
0.2,Decision Tree,0.8245614035087719,0.3611111111111111,0.545672323469305,0.37681159420289856,0.7133333333333334,0.3939393939393939,0.5928362573099416,"[[94 20]
 [23 13]]",None,None
0.2,SVM (lib),1.0,0.0,0.0,0.0,0.76,0.0,0.5,"[[114   0]
 [ 36   0]]",None,None
0.2,WSVM,1.0,0.0,0.0,0.0,0.76,0.0,0.5,"[[114   0]
 [ 36   0]]",None,None
0.2,ADA_DSTree,0.9210526315789473,0.4166666666666667,0.6194932847291901,0.5,0.8,0.625,0.668859649122807,"[[105   9]
 [ 21  15]]",None,None
0.2,ADA_SVM,0.9912280701754386,0.1111111111111111,0.3318681247750609,0.19512195121951217,0.78,0.8,0.5511695906432749,"[[113   1]
 [ 32   4]]",None,None
0.2,ADA_WSVM,1.0,0.0,0.0,0.0,0.76,0.0,0.5,"[[114   0]
 [ 36   0]]","[0.2374581939799331, 0.37714665184086993, 0.5186221947945266, 0.504658528751466, 0.5000000000000001, 0.49999999999999983, 0.5000000000000001, 0.4999999999999999, 0.5000000000000001, 0.4999999999999999, 0.5000000000000001, 0.4999999999999999, 0.5000000000000001, 0.4999999999999999, 0.5000000000000001, 0.4999999999999999, 0.5000000000000001, 0.4999999999999999, 0.5000000000000001, 0.4999999999999999]","[0.5833328759565628, 0.25083849306521766, -0.03726162505359576, -0.00931732711398569, -2.2204460492503136e-16, 4.440892098500624e-16, -2.2204460492503136e-16, 2.2204460492503126e-16, -2.2204460492503136e-16, 2.2204460492503126e-16, -2.2204460492503136e-16, 2.2204460492503126e-16, -2.2204460492503136e-16, 2.2204460492503126e-16, -2.2204460492503136e-16, 2.2204460492503126e-16, -2.2204460492503136e-16, 2.2204460492503126e-16, -2.2204460492503136e-16, 2.2204460492503126e-16]"
0.2,ImADA1_SVM,0.6052631578947368,0.8333333333333334,0.710201355188992,0.5405405405405406,0.66,0.4,0.7192982456140351,"[[69 45]
 [ 6 30]]","[0.762541806020067, 0.3362676056338027, 0.44047337990287977, 0.5486253714748238, 0.48220269054196624, 0.5093591976628056, 0.49936049205606425, 0.4999999999999999, 0.5000000000000001, 0.4999999999999999, 0.5000000000000001, 0.4999999999999999, 0.5000000000000001, 0.4999999999999999, 0.5000000000000001, 0.4999999999999999, 0.5000000000000001, 0.4999999999999999, 0.5000000000000001, 0.4999999999999999]","[-0.5833328759565631, 0.33998587970069066, 0.11962054649345258, -0.09755908424867121, 0.035609662873859554, -0.018720581958643536, 0.0012790165853116865, 2.2204460492503126e-16, -2.2204460492503136e-16, 2.2204460492503126e-16, -2.2204460492503136e-16, 2.2204460492503126e-16, -2.2204460492503136e-16, 2.2204460492503126e-16, -2.2204460492503136e-16, 2.2204460492503126e-16, -2.2204460492503136e-16, 2.2204460492503126e-16, -2.2204460492503136e-16, 2.2204460492503126e-16]"
0.2,ImADA2_SVM,1.0,0.05555555555555555,0.23570226039551584,0.10526315789473684,0.7733333333333333,1.0,0.5277777777777778,"[[114   0]
 [ 34   2]]","[0.4185299940716547, 0.4476276959160702, 0.5119515858579697, 0.5008072456047064, 0.4998821813941773, 0.5000171776741341, 0.4999974951507522, 0.5000003652490486, 0.4999999467403863, 0.5000000077661668, 0.49999999886755925, 0.5000000001651294, 0.4999999999759216, 0.5000000000035112, 0.4999999999994874, 0.5000000000000752, 0.49999999999998873, 0.5000000000000021, 0.49999999999999944, 0.5]","[0.16440541616310184, 0.10513021591854818, -0.02390772572885732, -0.001614492612182708, 0.000235637216006675, -3.435534828175846e-05, 5.009698495689729e-06, -7.304980971219575e-07, 1.0651922741646783e-07, -1.5532333660696876e-08, 2.2648816104582217e-09, -3.302587093781309e-10, 4.8156811869216787e-11, -7.022382675408354e-12, 1.0251799409378186e-12, -1.503241975342688e-13, 2.264854970235268e-14, -4.218847493575613e-15, 1.1102230246251554e-15, 0.0]"
0.2,ImADA_12_SVM,0.0,1.0,0.0,0.3870967741935484,0.24,0.24,0.5,"[[  0 114]
 [  0  36]]","[0.9436136061117885, 0.29607519500619617, 0.45955840738323384, 0.5013352832688525, 0.5010320957536244, 0.49985249690496614, 0.5000210523741562, 0.49999699472644665, 0.5000004289978284, 0.4999999387610311, 0.5000000087417905, 0.49999999875211976, 0.5000000001781335, 0.49999999997457145, 0.50000000000363, 0.49999999999948186, 0.5000000000000739, 0.49999999999998945, 0.5000000000000018, 0.49999999999999956]","[-1.40874444025504, 0.43302904005990545, 0.08106026251130369, -0.002670572886492724, -0.0020641944390182515, 0.00029500619862571944, -4.210474833723403e-05, 6.010547106752002e-06, -8.579956567672419e-07, 1.2247793777890723e-07, -1.7483580999986376e-08, 2.4957604809356684e-09, -3.5626701601546015e-10, 5.0857096309442726e-11, -7.2599704026815306e-12, 1.0362821711840472e-12, -1.478817068800927e-13, 2.109423746787753e-14, -3.5527136788005136e-15, 8.881784197001244e-16]"
0.2,ImADA1_WSVM,0.20175438596491227,0.9444444444444444,0.4365155311863045,0.422360248447205,0.38,0.272,0.5730994152046783,"[[23 91]
 [ 2 34]]","[0.762541806020067, 0.3771466518408697, 0.5186221947945268, 0.5046585287514659, 0.5000000000000001, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5]","[-0.5833328759565631, 0.2508384930652181, -0.037261625053596, -0.009317327113985464, -2.2204460492503136e-16, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
0.2,ImADA2_WSVM,0.8859649122807017,0.5833333333333334,0.7188969783613477,0.6,0.8133333333333334,0.6176470588235294,0.7346491228070176,"[[101  13]
 [ 15  21]]","[0.4185299940716547, 0.3898425006613035, 0.5408085584954595, 0.4537808567113423, 0.49170282669513354, 0.4848023619539632, 0.5367188180235327, 0.502737606867854, 0.5211314883752391, 0.4582394826353724, 0.5052166118080155, 0.523409018103227, 0.4704000716576143, 0.509511206107448, 0.5137775749320522, 0.5024476401967578, 0.496301930975456, 0.49387070798836097, 0.503341606109147, 0.501473013918357]","[0.16440541616310184, 0.22398715318972273, -0.08179907161535352, 0.09270293475853299, 0.01659587006946762, 0.0304046417405878, -0.07357008339706801, -0.005475268448614745, -0.04228816655342752, 0.08371605930416799, -0.010433602200381881, -0.04685228852778226, 0.059269160199928506, -0.01902470714686288, -0.027562127125472444, -0.0048953194972025495, 0.007396272916811213, 0.012259198122899665, -0.006683311723577225, -0.0029460363596954422]"
